,city,price
0,"abilene, TX",200
1,"abilene, TX",503
2,"abilene, TX",400
3,"abilene, TX",400
4,"abilene, TX",200
5,"abilene, TX",200
6,"abilene, TX",50
7,"abilene, TX",200
8,"abilene, TX",200
9,"abilene, TX",200
10,"abilene, TX",300
11,"abilene, TX",200
12,"abilene, TX",400
13,"abilene, TX",240
14,"abilene, TX",400
15,akron / canton,400
16,akron / canton,450
17,akron / canton,549
18,akron / canton,225
19,akron / canton,450
20,akron / canton,999
21,akron / canton,201
22,akron / canton,400
23,akron / canton,999
24,akron / canton,999
25,akron / canton,201
26,akron / canton,400
27,akron / canton,400
28,akron / canton,200
29,akron / canton,400
30,akron / canton,400
31,akron / canton,400
32,akron / canton,550
33,akron / canton,400
34,akron / canton,450
35,akron / canton,235
36,"albany, GA",500
37,"albany, GA",232
38,"albany, GA",500
39,"albany, GA",350
40,"albany, GA",200
41,"albany, GA",450
42,"albany, GA",225
43,"albany, GA",200
44,"albany, GA",400
45,"albany, GA",200
46,"albany, GA",231
47,"albany, GA",449
48,"albany, GA",449
49,"albany, GA",400
50,"albany, GA",500
51,"albany, NY",400
52,"albany, NY",200
53,"albany, NY",200
54,"albany, NY",400
55,"albany, NY",400
56,"albany, NY",400
57,"albany, NY",200
58,"albany, NY",500
59,"albany, NY",425
60,"albany, NY",200
61,"albany, NY",699
62,"albany, NY",580
63,"albany, NY",250
64,"albany, NY",200
65,"albany, NY",550
66,"albany, NY",350
67,"albany, NY",350
68,"albany, NY",300
69,"albany, NY",650
70,albuquerque,450
71,albuquerque,200
72,albuquerque,230
73,albuquerque,190
74,albuquerque,450
75,albuquerque,400
76,albuquerque,650
77,albuquerque,400
78,albuquerque,200
79,altoona-johnstown,225
80,altoona-johnstown,500
81,altoona-johnstown,550
82,altoona-johnstown,500
83,altoona-johnstown,450
84,altoona-johnstown,425
85,altoona-johnstown,400
86,altoona-johnstown,420
87,altoona-johnstown,420
88,altoona-johnstown,600
89,altoona-johnstown,600
90,altoona-johnstown,200
91,altoona-johnstown,475
92,altoona-johnstown,500
93,altoona-johnstown,600
94,altoona-johnstown,600
95,altoona-johnstown,700
96,altoona-johnstown,400
97,altoona-johnstown,200
98,altoona-johnstown,250
99,altoona-johnstown,475
100,"amarillo, TX",450
101,"amarillo, TX",500
102,"amarillo, TX",200
103,"amarillo, TX",200
104,"amarillo, TX",50
105,"amarillo, TX",200
106,"amarillo, TX",200
107,"amarillo, TX",200
108,"ames, IA",525
109,"ames, IA",400
110,"ames, IA",200
111,"ames, IA",200
112,"ames, IA",350
113,"ames, IA",550
114,"ames, IA",400
115,"ames, IA",325
116,"ames, IA",500
117,anchorage / mat-su,350
118,anchorage / mat-su,250
119,anchorage / mat-su,200
120,anchorage / mat-su,200
121,anchorage / mat-su,200
122,anchorage / mat-su,200
123,anchorage / mat-su,200
124,anchorage / mat-su,575
125,"annapolis, MD",560
126,"annapolis, MD",379
127,"annapolis, MD",225
128,"annapolis, MD",200
129,"annapolis, MD",350
130,"annapolis, MD",200
131,"annapolis, MD",499
132,"annapolis, MD",499
133,"annapolis, MD",499
134,"annapolis, MD",200
135,"annapolis, MD",200
136,"annapolis, MD",400
137,"annapolis, MD",499
138,"annapolis, MD",500
139,"annapolis, MD",499
140,"annapolis, MD",230
141,"annapolis, MD",500
142,"annapolis, MD",475
143,"annapolis, MD",500
144,"annapolis, MD",499
145,"annapolis, MD",500
146,"ann arbor, MI",79
147,"ann arbor, MI",439
148,"ann arbor, MI",350
149,"ann arbor, MI",449
150,"ann arbor, MI",460
151,"ann arbor, MI",549
152,"ann arbor, MI",499
153,"ann arbor, MI",99
154,"ann arbor, MI",475
155,"ann arbor, MI",99
156,"ann arbor, MI",500
157,"ann arbor, MI",300
158,"ann arbor, MI",399
159,"ann arbor, MI",499
160,"ann arbor, MI",500
161,"ann arbor, MI",99
162,"ann arbor, MI",480
163,"ann arbor, MI",500
164,"ann arbor, MI",525
165,"ann arbor, MI",500
166,"ann arbor, MI",95
167,appleton-oshkosh-FDL,550
168,appleton-oshkosh-FDL,550
169,appleton-oshkosh-FDL,200
170,appleton-oshkosh-FDL,350
171,appleton-oshkosh-FDL,500
172,appleton-oshkosh-FDL,400
173,appleton-oshkosh-FDL,1111
174,appleton-oshkosh-FDL,1111
175,appleton-oshkosh-FDL,500
176,appleton-oshkosh-FDL,200
177,appleton-oshkosh-FDL,400
178,appleton-oshkosh-FDL,1111
179,appleton-oshkosh-FDL,425
180,appleton-oshkosh-FDL,1111
181,appleton-oshkosh-FDL,400
182,appleton-oshkosh-FDL,1111
183,appleton-oshkosh-FDL,1111
184,appleton-oshkosh-FDL,450
185,appleton-oshkosh-FDL,425
186,appleton-oshkosh-FDL,1111
187,appleton-oshkosh-FDL,385
188,"asheville, NC",75
189,"asheville, NC",229
190,"asheville, NC",350
191,"asheville, NC",450
192,"asheville, NC",400
193,"asheville, NC",200
194,"asheville, NC",200
195,"asheville, NC",500
196,"asheville, NC",600
197,"asheville, NC",50
198,"asheville, NC",85
199,"asheville, NC",400
200,"asheville, NC",525
201,"asheville, NC",375
202,"asheville, NC",400
203,"asheville, NC",550
204,"asheville, NC",450
205,"asheville, NC",580
206,"asheville, NC",465
207,"asheville, NC",200
208,"asheville, NC",480
209,"ashtabula, OH",400
210,"ashtabula, OH",226
211,"ashtabula, OH",225
212,"ashtabula, OH",450
213,"ashtabula, OH",999
214,"ashtabula, OH",201
215,"ashtabula, OH",400
216,"ashtabula, OH",999
217,"ashtabula, OH",999
218,"ashtabula, OH",201
219,"ashtabula, OH",400
220,"ashtabula, OH",400
221,"ashtabula, OH",200
222,"ashtabula, OH",400
223,"ashtabula, OH",400
224,"ashtabula, OH",400
225,"ashtabula, OH",550
226,"ashtabula, OH",400
227,"ashtabula, OH",450
228,"ashtabula, OH",225
229,"ashtabula, OH",400
230,"athens, GA",400
231,"athens, GA",400
232,"athens, GA",425
233,"athens, GA",430
234,"athens, GA",490
235,"athens, GA",200
236,"athens, GA",450
237,"athens, GA",450
238,"athens, GA",320
239,"athens, GA",380
240,"athens, GA",420
241,"athens, GA",470
242,"athens, GA",240
243,"athens, GA",400
244,"athens, GA",450
245,"athens, GA",380
246,"athens, GA",250
247,"athens, GA",350
248,"athens, GA",160
249,"athens, GA",250
250,"athens, GA",450
251,"athens, OH",240
252,"athens, OH",400
253,"athens, OH",600
254,"athens, OH",230
